SURVEY_YEAR,ABUNDANCE_IMMATURE_MALE,CV_ABUNDANCE_IMMATURE_MALE,CI_ABUNDANCE_IMMATURE_MALE,ABUNDANCE_MATURE_MALE,CV_ABUNDANCE_MATURE_MALE,CI_ABUNDANCE_MATURE_MALE,ABUNDANCE_LEGAL,CV_ABUNDANCE_LEGAL,CI_ABUNDANCE_LEGAL,ABUNDANCE_P3,CV_ABUNDANCE_P3,CI_ABUNDANCE_P3,ABUNDANCE_P2,CV_ABUNDANCE_P2,CI_ABUNDANCE_P2,ABUNDANCE_P1,CV_ABUNDANCE_P1,CI_ABUNDANCE_P1,ABUNDANCE_MALE_GE105,CV_ABUNDANCE_MALE_GE105,CI_ABUNDANCE_MALE_GE105,ABUNDANCE_RECRUIT,CV_ABUNDANCE_RECRUIT,CI_ABUNDANCE_RECRUIT,ABUNDANCE_POSTRECRUIT,CV_ABUNDANCE_POSTRECRUIT,CI_ABUNDANCE_POSTRECRUIT,ABUNDANCE_MALE_TOTAL,CV_ABUNDANCE_MALE_TOTAL,CI_ABUNDANCE_MALE_TOTAL,ABUNDANCE_IMMATURE_FEMALE,CV_ABUNDANCE_IMMATURE_FEMALE,CI_ABUNDANCE_IMMATURE_FEMALE,ABUNDANCE_MATURE_FEMALE,CV_ABUNDANCE_MATURE_FEMALE,CI_ABUNDANCE_MATURE_FEMALE,ABUNDANCE_FEMALE_TOTAL,CV_ABUNDANCE_FEMALE_TOTAL,CI_ABUNDANCE_FEMALE_TOTAL
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27183,0.999992303,53278.26991,0,0,0,27183,0.999992303,53278.26991
1976,0,0,0,50778,1.000006874,99525.56411,50778,1.000006874,99525.56411,0,0,0,0,0,0,0,0,0,50778,1.000006874,99525.56411,0,0,0,50778,1.000006874,99525.56411,50778,1.000006874,99525.56411,0,0,0,97634,0.700590887,134066.9217,97634,0.700590887,134066.9217
1977,152318,0.999999407,298543.1029,76159,0.999999407,149271.5514,0,0,0,76159,0.999999407,149271.5514,76159,0.999999407,149271.5514,76159,0.999999407,149271.5514,152318,0.999999407,298543.1029,0,0,0,0,0,0,228477,0.999999407,447814.6543,38079,1.000012537,74635.77573,152318,0.999999407,298543.1029,190397,1.000002033,373178.8786
1978,0,0,0,367140,0.834845789,600750.3545,367140,0.834845789,600750.3545,0,0,0,0,0,0,0,0,0,367140,0.834845789,600750.3545,152308,0.820729382,245007.1554,214832,0.860800674,362457.9596,367140,0.834845789,600750.3545,0,0,0,60923,1.000000847,119409.1811,60923,1.000000847,119409.1811
1979,0,0,0,199033,0.49282843,192254.6771,155520,0.575481471,175417.8015,0,0,0,0,0,0,43513,1.000002504,85285.69358,199033,0.49282843,192254.6771,50778,1.000006874,99525.56411,104741,0.717845671,147368.232,199033,0.49282843,192254.6771,0,0,0,64126,0.999998179,125686.7311,64126,0.999998179,125686.7311
1980,60923,1.000000847,119409.1811,391266,0.378830829,290518.3014,391266,0.378830829,290518.3014,60923,1.000000847,119409.1811,0,0,0,0,0,0,391266,0.378830829,290518.3014,0,0,0,391266,0.378830829,290518.3014,452189,0.39827396,352986.4036,0,0,0,134332,0.704313855,185439.302,134332,0.704313855,185439.302
1981,0,0,0,83003,0.571488775,92973.15428,83003,0.571488775,92973.15428,0,0,0,0,0,0,0,0,0,83003,0.571488775,92973.15428,17174,1.000019005,33661.67973,65828,0.570266165,73577.38292,83003,0.571488775,92973.15428,0,0,0,19307,0.999986114,37841.19454,19307,0.999986114,37841.19454
1982,20220,0.99999289,39630.91821,331947,0.686519289,446660.5161,331947,0.686519289,446660.5161,0,0,0,20220,0.99999289,39630.91821,0,0,0,352166,0.702601409,484967.3627,20220,0.99999289,39630.91821,311727,0.66876659,408606.3016,352166,0.702601409,484967.3627,0,0,0,481697,0.727957157,687283.3661,481697,0.727957157,687283.3661
1983,22074,0.999998975,43264.99565,122661,0.588393565,141458.9684,100587,0.52933278,104358.2328,0,0,0,22074,0.999998975,43264.99565,22074,0.999998975,43264.99565,144735,0.639144427,181312.8745,0,0,0,100587,0.52933278,104358.2328,144735,0.639144427,181312.8745,0,0,0,152464,0.472158631,141094.8992,152464,0.472158631,141094.8992
1984,0,0,0,76883,0.481059565,72491.19295,57893,0.562971118,63880.49037,0,0,0,0,0,0,18991,0.999973924,37221.38938,76883,0.481059565,72491.19295,0,0,0,57893,0.562971118,63880.49037,76883,0.481059565,72491.19295,0,0,0,59637,0.562808143,65785.81084,59637,0.562808143,65785.81084
