SURVEY_YEAR,MT_IMMATURE_MALE,CV_MT_IMMATURE_MALE,CI_MT_IMMATURE_MALE,MT_MATURE_MALE,CV_MT_MATURE_MALE,CI_MT_MATURE_MALE,MT_LEGAL,CV_MT_LEGAL,CI_MT_LEGAL,MT_P3,CV_MT_P3,CI_MT_P3,MT_P2,CV_MT_P2,CI_MT_P2,MT_P1,CV_MT_P1,CI_MT_P1,MT_MALE_GE105,CV_MT_MALE_GE105,CI_MT_MALE_GE105,MT_RECRUIT,CV_MT_RECRUIT,CI_MT_RECRUIT,MT_POSTRECRUIT,CV_MT_POSTRECRUIT,CI_MT_POSTRECRUIT,MT_MALE_TOTAL,CV_MT_MALE_TOTAL,CI_MT_MALE_TOTAL,MT_IMMATURE_FEMALE,CV_MT_IMMATURE_FEMALE,CI_MT_IMMATURE_FEMALE,MT_MATURE_FEMALE,CV_MT_MATURE_FEMALE,CI_MT_MATURE_FEMALE,MT_FEMALE_TOTAL,CV_MT_FEMALE_TOTAL,CI_MT_FEMALE_TOTAL
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41100887,1,20.40557738,0,0,0,10.41100887,1,20.40557738
1976,0,0,0,162.0844901,1,317.6856006,162.0844901,1,317.6856006,0,0,0,0,0,0,0,0,0,162.0844901,1,317.6856006,0,0,0,162.0844901,1,317.6856006,162.0844901,1,317.6856006,0,0,0,79.87788571,0.758414534,118.737877,79.87788571,0.758414534,118.737877
1977,137.0861187,1,268.6887926,115.9520087,1,227.2659371,0,0,0,45.31457812,1,88.81657311,91.77154055,1,179.8722195,115.9520087,1,227.2659371,207.7235493,1,407.1381565,0,0,0,0,0,0,253.0381274,1,495.9547297,15.42218835,1,30.22748917,104.2235297,1,204.2781181,119.645718,1,234.5056073
1978,0,0,0,1227.67087,0.825401727,1986.110445,1227.67087,0.825401727,1986.110445,0,0,0,0,0,0,0,0,0,1227.67087,0.825401727,1986.110445,356.3389288,0.824682956,575.9786163,871.3319408,0.838092765,1431.303711,1227.67087,0.825401727,1986.110445,0,0,0,42.0369056,1,82.39233498,42.0369056,1,82.39233498
1979,0,0,0,545.423888,0.515501903,551.0874226,479.1969361,0.575264654,540.3035172,0,0,0,0,0,0,66.22695185,1,129.8048256,545.423888,0.515501903,551.0874226,118.2627749,1,231.7950388,360.9341612,0.699724078,495.0064731,545.423888,0.515501903,551.0874226,0,0,0,68.99945037,1,135.2389227,68.99945037,1,135.2389227
1980,17.66768496,1,34.62866253,1245.919036,0.382119092,933.135324,1245.919036,0.382119092,933.135324,17.66768496,1,34.62866253,0,0,0,0,0,0,1245.919036,0.382119092,933.135324,0,0,0,1245.919036,0.382119092,933.135324,1263.586721,0.383546632,949.9030845,0,0,0,188.9105314,0.724962671,268.4280435,188.9105314,0.724962671,268.4280435
1981,0,0,0,306.970656,0.584449952,351.641611,306.970656,0.584449952,351.641611,0,0,0,0,0,0,0,0,0,306.970656,0.584449952,351.641611,40.89207112,1,80.1484594,266.0785849,0.568070412,296.2566879,306.970656,0.584449952,351.641611,0,0,0,25.15667168,1,49.30707648,25.15667168,1,49.30707648
1982,17.75303377,1,34.7959462,1440.098241,0.698091295,1970.427291,1440.098241,0.698091295,1970.427291,0,0,0,17.75303377,1,34.7959462,0,0,0,1457.851275,0.701359395,2004.056267,39.26696081,1,76.96324318,1400.83128,0.690623015,1896.19479,1457.851275,0.701359395,2004.056267,0,0,0,673.2326767,0.763493185,1007.456779,673.2326767,0.763493185,1007.456779
1983,25.82655351,1,50.62004489,518.2945589,0.533575045,542.036123,485.5367765,0.518848806,493.7635465,0,0,0,25.82655351,1,50.62004489,32.7577824,1,64.20525351,544.1211124,0.545973658,582.2685569,0,0,0,485.5367765,0.518848806,493.7635465,544.1211124,0.545973658,582.2685569,0,0,0,216.4370639,0.483675476,205.1831879,216.4370639,0.483675476,205.1831879
1984,0,0,0,312.1677084,0.549414313,336.1584378,278.630477,0.608625838,332.3801469,0,0,0,0,0,0,33.53723145,1,65.73297364,312.1677084,0.549414313,336.1584378,0,0,0,278.630477,0.608625838,332.3801469,312.1677084,0.549414313,336.1584378,0,0,0,79.68939006,0.570836865,89.15969745,79.68939006,0.570836865,89.15969745
1985,0,0,0,60.41026039,1,118.4041104,60.41026039,1,118.4041104,0,0,0,0,0,0,0,0,0,60.41026039,1,118.4041104,0,0,0,60.41026039,1,118.4041104,60.41026039,1,118.4041104,0,0,0,0,0,0,0,0,0
1986,0,0,0,135.1869741,0.69840423,185.053703,135.1869741,0.69840423,185.053703,0,0,0,0,0,0,0,0,0,135.1869741,0.69840423,185.053703,0,0,0,135.1869741,0.69840423,185.053703,135.1869741,0.69840423,185.053703,0,0,0,56.6197545,1,110.9747188,56.6197545,1,110.9747188
1987,0,0,0,52.55733027,1,103.0123673,52.55733027,1,103.0123673,0,0,0,0,0,0,0,0,0,52.55733027,1,103.0123673,0,0,0,52.55733027,1,103.0123673,52.55733027,1,103.0123673,0,0,0,24.78799436,1,48.58446894,24.78799436,1,48.58446894
1988,692.7615723,0.585379154,794.8352394,104.2914805,1,204.4113018,42.84621434,1,83.97858011,284.6186293,0.890756947,496.9110017,408.1429429,0.740361484,592.2596976,61.44526619,1,120.4327217,512.4344235,0.700030639,703.0908024,42.84621434,1,83.97858011,0,0,0,797.0530528,0.561560741,877.2836581,311.8577701,1,611.2412294,419.7680551,0.873103237,718.3416614,731.6258252,0.648386301,929.7772787
1989,656.2763902,0.721332531,927.8512786,1497.722535,0.909766121,2670.651353,853.9800084,0.845164464,1414.63697,470.4341533,0.833567287,768.5915006,185.8422369,0.866336086,315.5635986,643.7425265,1,1261.735352,1683.564772,0.904317488,2984.055047,273.4307979,0.780966114,418.5387679,580.5492104,0.892078285,1015.074874,2153.998925,0.773392473,3265.137651,404.6646012,1,793.1426184,1441.540074,0.694230211,1961.490912,1846.204675,0.687599172,2488.119659
1990,7292.875368,0.882366956,12612.58478,1115.248243,0.92845662,2029.500844,135.3192316,1,265.225694,583.2008914,0.671278441,767.3207631,6709.674476,0.904932642,11900.73477,979.9290116,0.91881852,1764.73877,7824.92272,0.908058408,13926.75426,135.3192316,1,265.225694,0,0,0,8408.123611,0.888269921,14638.61927,25.85455216,1,50.67492224,2119.008505,0.709897042,2948.384626,2144.863057,0.712678732,2996.052638
1991,623.8343165,0.862268338,1054.308655,4335.008455,0.796217916,6765.158342,1294.550024,0.806912112,2047.392664,88.32228813,0.570959852,98.83982195,535.5120284,0.934246894,980.5888801,3040.458431,0.794936807,4737.265744,4870.520483,0.810967792,7741.677075,884.5319655,0.790303095,1370.134765,410.0180586,0.856312865,688.1633275,4958.842772,0.804402904,7818.258755,70.12652443,0.70373783,96.7273487,3790.158131,0.601488391,4468.28279,3860.284655,0.595345647,4504.479186
1992,266.3901049,0.901914627,470.9118191,3238.43504,0.596240991,3784.539926,2478.924112,0.541354478,2630.274272,211.9678263,0.877756344,364.6699645,54.42227861,1,106.6676661,759.5109275,0.906778803,1349.868483,3292.857318,0.600853075,3877.905955,979.557351,0.698748171,1341.549259,1499.366761,0.527645481,1550.622828,3504.825145,0.611793679,4202.690544,21.51427904,0.698212622,29.4422207,2593.945524,0.917379332,4664.078742,2615.459803,0.913828608,4684.560704
1993,275.5964883,1,540.169117,9686.752847,0.921572174,17497.00208,9016.91309,0.915805344,16185.16491,0,0,0,275.5964883,1,540.169117,669.8397567,1,1312.885923,9962.349335,0.923721957,18036.78402,1065.314806,0.765071829,1597.483001,7951.598284,0.937280145,14607.63537,9962.349335,0.923721957,18036.78402,8.791214169,1,17.23077977,4828.630768,0.717360002,6789.178492,4837.421983,0.716991775,6798.047879
1994,419.3795902,1,821.9839968,8971.002439,0.767427016,13493.79568,7971.560624,0.743994481,11624.36233,29.7864752,1,58.38149139,389.593115,1,763.6025054,999.441815,0.967766244,1895.763061,9360.595554,0.776592581,14247.96335,1026.927892,0.770286072,1550.415374,6944.632732,0.74307159,10114.3042,9390.382029,0.777264279,14305.66469,3.242725788,1,6.355742544,2919.38366,0.884260152,5059.729493,2922.626385,0.884383484,5066.056112
1995,420.3672441,0.708190822,583.4924393,17741.97339,0.601055699,20901.27187,16507.3219,0.609397717,19716.66761,68.35851305,1,133.9826856,352.0087311,0.675503071,466.0546384,1234.651491,0.564365528,1365.717692,18093.98213,0.596622858,21158.75531,1931.729344,0.593150228,2245.779172,14575.59256,0.62276762,17791.32589,18162.34064,0.595662054,21204.48958,18.23363015,1,35.7379151,3704.619781,0.662259266,4808.700805,3722.853411,0.661506927,4826.878905
1996,65.70847686,0.705248941,90.82803414,2322.852396,0.371572399,1691.691363,2291.639043,0.371772036,1669.855935,49.24394167,0.814396021,78.60397753,16.46453519,1,32.27048897,31.21335291,1,61.1781717,2339.316931,0.369310254,1693.310111,40.36178194,1,79.1090926,2251.277261,0.372706257,1644.567638,2388.560873,0.37030374,1733.606329,0,0,0,1456.232197,0.741634398,2116.784103,1456.232197,0.741634398,2116.784103
