SURVEY_YEAR,ABUNDANCE_IMMATURE_MALE,CV_ABUNDANCE_IMMATURE_MALE,CI_ABUNDANCE_IMMATURE_MALE,ABUNDANCE_MATURE_MALE,CV_ABUNDANCE_MATURE_MALE,CI_ABUNDANCE_MATURE_MALE,ABUNDANCE_LEGAL,CV_ABUNDANCE_LEGAL,CI_ABUNDANCE_LEGAL,ABUNDANCE_P3,CV_ABUNDANCE_P3,CI_ABUNDANCE_P3,ABUNDANCE_P2,CV_ABUNDANCE_P2,CI_ABUNDANCE_P2,ABUNDANCE_P1,CV_ABUNDANCE_P1,CI_ABUNDANCE_P1,ABUNDANCE_MALE_GE105,CV_ABUNDANCE_MALE_GE105,CI_ABUNDANCE_MALE_GE105,ABUNDANCE_RECRUIT,CV_ABUNDANCE_RECRUIT,CI_ABUNDANCE_RECRUIT,ABUNDANCE_POSTRECRUIT,CV_ABUNDANCE_POSTRECRUIT,CI_ABUNDANCE_POSTRECRUIT,ABUNDANCE_MALE_TOTAL,CV_ABUNDANCE_MALE_TOTAL,CI_ABUNDANCE_MALE_TOTAL,ABUNDANCE_IMMATURE_FEMALE,CV_ABUNDANCE_IMMATURE_FEMALE,CI_ABUNDANCE_IMMATURE_FEMALE,ABUNDANCE_MATURE_FEMALE,CV_ABUNDANCE_MATURE_FEMALE,CI_ABUNDANCE_MATURE_FEMALE,ABUNDANCE_FEMALE_TOTAL,CV_ABUNDANCE_FEMALE_TOTAL,CI_ABUNDANCE_FEMALE_TOTAL
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26486,0.999992303,51912.16043,0,0,0,26486,0.999992303,51912.16043
1976,0,0,0,50778,1.000006874,99525.56411,50778,1.000006874,99525.56411,0,0,0,0,0,0,0,0,0,50778,1.000006874,99525.56411,0,0,0,50778,1.000006874,99525.56411,50778,1.000006874,99525.56411,0,0,0,97634,0.698578274,133681.7827,97634,0.698578274,133681.7827
1977,152318,0.999999407,298543.1029,76159,0.999999407,149271.5514,0,0,0,76159,0.999999407,149271.5514,76159,0.999999407,149271.5514,76159,0.999999407,149271.5514,152318,0.999999407,298543.1029,0,0,0,0,0,0,228477,0.999999407,447814.6543,38079,1.000012537,74635.77573,152318,0.999999407,298543.1029,190397,1.000002033,373178.8786
1978,0,0,0,367140,0.834982647,600848.8371,367140,0.834982647,600848.8371,0,0,0,0,0,0,0,0,0,367140,0.834982647,600848.8371,152308,0.820879328,245051.9178,214832,0.860914132,362505.7333,367140,0.834982647,600848.8371,0,0,0,60923,1.000000847,119409.1811,60923,1.000000847,119409.1811
1979,0,0,0,279707,0.365469986,200360.0463,238932,0.415687172,194669.0963,0,0,0,0,0,0,40775,0.699395752,55895.00911,279707,0.365469986,200360.0463,50778,1.000006874,99525.56411,188153,0.461083641,170038.3697,279707,0.365469986,200360.0463,0,0,0,74586,0.729986772,106715.715,74586,0.729986772,106715.715
1980,16615,1.000022732,32566.14029,383898,0.482311003,362910.1295,383898,0.482311003,362910.1295,16615,1.000022732,32566.14029,0,0,0,0,0,0,383898,0.482311003,362910.1295,10385,1.000030046,20355.21158,373513,0.495658692,362864.5311,400513,0.466820031,366456.2828,0,0,0,160833,0.64914382,204631.346,160833,0.64914382,204631.346
1981,0,0,0,80928,0.571875464,90710.24553,80928,0.571875464,90710.24553,0,0,0,0,0,0,0,0,0,80928,0.571875464,90710.24553,16745,0.999998103,32820.13773,64183,0.570648804,71786.8663,80928,0.571875464,90710.24553,0,0,0,77300,0.788744185,119501.0539,77300,0.788744185,119501.0539
1982,20220,0.99999289,39630.91821,331947,0.686519289,446660.5161,331947,0.686519289,446660.5161,0,0,0,20220,0.99999289,39630.91821,0,0,0,352166,0.702601409,484967.3627,20220,0.99999289,39630.91821,311727,0.66876659,408606.3016,352166,0.702601409,484967.3627,0,0,0,481697,0.727957157,687283.3661,481697,0.727957157,687283.3661
1983,22074,0.999998975,43264.99565,122661,0.588393565,141458.9684,100587,0.52933278,104358.2328,0,0,0,22074,0.999998975,43264.99565,22074,0.999998975,43264.99565,144735,0.639144427,181312.8745,0,0,0,100587,0.52933278,104358.2328,144735,0.639144427,181312.8745,0,0,0,152464,0.472158631,141094.8992,152464,0.472158631,141094.8992
1984,0,0,0,64331,0.484293595,61063.97882,48441,0.56543278,53684.65339,0,0,0,0,0,0,15890,1.000000895,31144.42788,64331,0.484293595,61063.97882,0,0,0,48441,0.56543278,53684.65339,64331,0.484293595,61063.97882,0,0,0,49900,0.565274174,55286.07535,49900,0.565274174,55286.07535
